name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
AONES 20mm Silicone Belt Watch Strap Compatible for Huami Amazfit BIP  Watch Strap Green,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/51NXSHfydLL._AC_UL320_.jpg,https://www.amazon.in/CrispyTM-Black-Rectangle-Wrist-Watch/dp/B07PQ67P8H/ref=sr_1_383?qid=1679221047&s=watches&sr=1-383,5,1,320,999
AONES 20mm Silicone Belt Watch Strap Compatible for Inbase Urban Lite Watch Strap Green,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/I/71KhZr+pfPL._AC_UL320_.jpg,https://www.amazon.in/Maan-International-Analogue-Hanuman-MAHADEV/dp/B07F311WF5/ref=sr_1_384?qid=1679221047&s=watches&sr=1-384,2.5,22,219,999
AONES 20mm Silicone Belt Watch Strap Compatible for Mobvoi Ticwatch E Watch Strap Green,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51M4QAWz4oL._AC_UL320_.jpg,https://www.amazon.in/NEO-VICTORY-Digital-Black-Calculator/dp/B07WWC96CQ/ref=sr_1_721?qid=1679221051&s=watches&sr=1-721,3.7,16,275,599
AONES 20mm Silicone Belt Watch Strap Compatible for Moto 360 42mm Watch Strap Green,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71HKLP8-cvL._AC_UL320_.jpg,https://www.amazon.in/Avon-Analog-White-Womens-Girls/dp/B018GEV7NA/ref=sr_1_722?qid=1679221051&s=watches&sr=1-722,5,2,413,999
AONES 20mm Silicone Belt Watch Strap Compatible for Nokia Steel(40MM) Watch Strap Green,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81gCIZvn7yL._AC_UL320_.jpg,https://www.amazon.in/Pappi-Boss-Working-Favourite-Multicolour/dp/B072F1899Y/ref=sr_1_723?qid=1679221051&s=watches&sr=1-723,3.9,30,1.499,2.995
AONES 20mm Silicone Belt Watch Strap Compatible for Samsung Galaxy Watch4 LTE 44mm Sm-R875fzkainu Watch Strap Green,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61KkGix+aNL._AC_UL320_.jpg,https://www.amazon.in/AONES-Silicone-Compatible-Samsung-Sm-R845fzkains/dp/B0BPTFHP3F/ref=sr_1_724?qid=1679221051&s=watches&sr=1-724,,,799,1.59
AONES 20mm Silicone Belt Watch Strap Compatible for Samsung Gear Sport 42mm Watch Strap Green,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/617LW0UiuSL._AC_UL320_.jpg,https://www.amazon.in/Shocknshop-Digital-Children-Fashion-LightPink/dp/B0BKSMSRVG/ref=sr_1_725?qid=1679221051&s=watches&sr=1-725,4.5,2,349,999
AONES 20mm Silicone Belt Watch Strap Compatible for Tcl Movetime Watch Strap Green,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41+agRUQk-L._AC_UL320_.jpg,https://www.amazon.in/Mad-Max-Creation-Analogue-Stainless/dp/B07W5QHBD9/ref=sr_1_726?qid=1679221051&s=watches&sr=1-726,3.9,11,249,299
AONES 20mm Silicone Belt Watch Strap Compatible for Zebronics 280ch Zeb-Fit Watch Strap Green,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41MpJdqkRqL._AC_UL320_.jpg,https://www.amazon.in/AONES-Silicone-Compatible-Gizmore-Gizfit/dp/B0BWS3RBVD/ref=sr_1_727?qid=1679221051&s=watches&sr=1-727,,,319,990
AONES 20mm Silicone Belt Watch Strap Compatible for Zebronics 6220ch Watch Strap Green,kids' fashion,Kids' Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71tzepIzddL._AC_UL320_.jpg,https://www.amazon.in/SS-Collection-Powered-Digital-Display/dp/B07KK19368/ref=sr_1_728?qid=1679221051&s=watches&sr=1-728,3.7,84,498,2.399
